James,Howard,343.96
Elizabeth,Cooper,857.42
Adam,Morrison,458.22
Carolyn,Wood,542.86
Eric,Gonzalez,423.20
Theresa,Hunt,30.66
Denise,Murray,766.52
Juan,Daniels,721.69
Chris,Russell,259.94
Amanda,James,708.63
Sarah,Adams,312.84
Dennis,West,775.54
Bruce,Palmer,850.58
Juan,Medina,461.51
Christina,Arnold,176.08
Cynthia,Gray,368.22
Ryan,Owens,58.89
Jonathan,Mason,151.92
Wayne,Price,937.68
Lawrence,Willis,910.13
Pamela,Bryant,194.11
Heather,Arnold,981.51
Steve,Howell,434.54
Ruth,Rose,223.42
Susan,Graham,134.89
Clarence,Lopez,390.33
Joe,Carr,984.80
Helen,Oliver,76.10
Douglas,Freeman,611.91
Catherine,Price,561.56
Peter,Gutierrez,576.35
Stephen,Stanley,588.00
Clarence,Richardson,905.08
Joshua,Lawrence,290.94
Julie,Fowler,469.99
Ralph,Bell,204.71
Wanda,Simpson,184.41
Howard,Burton,19.90
Brandon,Brown,535.25
Chris,Bowman,29.23
Kimberly,Sanders,252.45
Melissa,Ross,911.29
Mark,Hawkins,208.58
Marilyn,Wright,670.63
Judith,Warren,417.09
Susan,Sanders,931.11
Lori,Spencer,182.27
Russell,Martin,579.34
Ruth,Webb,536.83
Carlos,Marshall,637.66
Mark,Bennett,243.08
Margaret,Miller,663.04
Nicole,Moore,132.22
Louis,Sullivan,499.55
Carolyn,Lawrence,253.74
Anna,Frazier,321.37
Judith,Welch,254.11
Larry,Duncan,856.49
Lori,Webb,862.44
Donna,Stephens,393.35
Joe,Lawrence,703.18
Scott,Carpenter,573.01
Rose,Hicks,28.06
Lawrence,Jackson,164.08
Chris,Rogers,258.25
Jose,Nguyen,233.00
Jack,Hall,8.78
Douglas,Vasquez,125.04
Jacqueline,Edwards,130.88
Sarah,Miller,587.15
Martha,Griffin,449.47
Jeffrey,Palmer,74.66
Teresa,Alexander,141.95
Henry,Shaw,582.01
Nicholas,Stone,957.36
Gregory,Spencer,686.98
Willie,Bishop,344.01
Jacqueline,Kelley,720.06
Bobby,Morales,726.06
Laura,Hicks,335.91
Evelyn,Riley,143.92
Justin,Greene,583.54
Charles,Burke,847.03
Carlos,James,421.07
Julia,Bradley,209.59
Michael,Robinson,309.57
Amanda,Hunt,145.20
Harry,Fisher,942.23
Joyce,Harrison,250.61
Amanda,Webb,782.13
George,Rose,693.39
Eugene,Burns,867.71
Rebecca,Martin,517.00
Janet,Carter,642.19
Andrea,Sullivan,521.53
Walter,Simpson,325.19
Walter,Cole,636.50
Doris,Perez,273.27
Justin,Roberts,562.24
Dorothy,Simmons,273.26
Martin,Roberts,287.26
Rachel,Hughes,464.14
Joan,Garrett,198.29
Karen,Allen,730.25
Martha,Romero,163.70
Kathryn,Garrett,93.63
Denise,Andrews,966.58
Robin,Chavez,21.19
Gregory,Wood,290.81
Larry,Jordan,624.27
Steve,Stephens,377.57
Ronald,Powell,885.48
Shirley,Cooper,958.73
Marilyn,Graham,779.57
Richard,Harrison,974.52
Martin,Mcdonald,210.31
Annie,Peters,668.55
Harry,Hanson,141.80
Alan,West,632.60
Patricia,Ferguson,340.46
Kathleen,Harvey,51.26
Laura,Little,286.26
Ashley,Turner,619.24
Philip,Webb,804.46
Chris,Knight,292.66
Jose,Warren,576.14
Anna,Banks,761.21
Alan,Miller,329.93
Terry,Hayes,874.09
Keith,Crawford,441.65
Brian,Montgomery,976.94
Margaret,Wagner,560.31
Samuel,Watson,71.54
Harold,Bryant,523.07
Phillip,Boyd,152.19
William,Gonzales,654.01
Lori,Morgan,923.43
Angela,Fields,636.93
Dennis,Romero,535.49
Anthony,Nguyen,161.81
Nancy,Meyer,541.45
Thomas,Morrison,942.47
Joe,Romero,994.81
Dorothy,Schmidt,864.20
Shawn,Ward,783.16
Helen,Hayes,947.29
Phillip,Reynolds,309.18
Susan,Taylor,156.61
Benjamin,Gonzales,720.98
Joshua,Fernandez,791.90
Virginia,Ross,441.06
Karen,Bailey,847.44
Debra,Ramirez,83.71
Ryan,Morris,41.33
Helen,Woods,937.51
Alice,Gray,423.68
Cheryl,Lee,902.51
Jessica,Bailey,335.36
Arthur,Hill,809.73
Chris,Hughes,552.17
Lois,Schmidt,521.90
Jane,Ford,244.43
Donald,Bradley,548.05
Lillian,Armstrong,667.84
Fred,Wood,645.83
Martha,Mccoy,237.31
Catherine,Larson,714.08
Russell,Ross,19.86
Martin,Pierce,914.21
Adam,Campbell,800.98
Paul,Ford,977.98
Justin,Bradley,624.79
Lawrence,Green,741.56
Christina,Gardner,901.75
Jesse,Olson,604.40
Larry,Carroll,14.76
Ryan,Coleman,375.62
Paul,Spencer,360.56
Phillip,Ramos,125.97
Jessica,Rivera,562.69
Lois,Watson,255.94
Louise,Price,232.32
Emily,Cox,35.49
Susan,Russell,619.54
Craig,Ferguson,549.66
Tina,Stephens,42.42
Diane,Jordan,450.09
Jane,Rogers,100.65
Michelle,Stevens,964.24
Louise,Gutierrez,961.26
Benjamin,Alvarez,624.73
Russell,Myers,126.30
Christine,Ferguson,710.17
Michelle,Ford,971.73
Sean,Dunn,212.46
John,Rice,625.68
Jeffrey,Duncan,433.89
Helen,Ortiz,670.77
Harry,Hughes,522.50
David,Jackson,949.53
Diane,Diaz,373.34
Ashley,Walker,937.95
Bonnie,Rivera,912.85
Ruby,Freeman,679.05
Dorothy,Baker,541.35
Doris,Harper,272.69
Phyllis,Martinez,509.97
Nicholas,Johnson,289.70
Adam,Anderson,317.17
James,Fernandez,546.94
Julie,Gomez,288.89
Jose,Richardson,696.75
Louise,Watson,218.63
Matthew,Alexander,921.82
Laura,Warren,122.15
Amy,Miller,435.76
Carlos,Hughes,91.34
Albert,Hayes,941.87
Charles,Phillips,586.31
Steven,Harvey,42.87
Christine,Nguyen,231.11
Anna,West,399.11
Larry,Wagner,375.15
Kelly,Fernandez,412.73
Cheryl,Stephens,877.49
Mark,Richards,663.40
Kathy,Clark,749.65
Alan,Fields,175.88
Cynthia,Schmidt,821.80
Anthony,Ross,32.64
Emily,Ray,971.68
Michelle,Bowman,286.45
Sarah,Smith,749.06
Patrick,Garcia,871.31
Dorothy,Thomas,388.79
Ryan,Medina,582.37
Earl,Holmes,308.97
Rose,Bell,270.32
Stephanie,Jenkins,458.45
Shirley,Reyes,98.08
Betty,Flores,511.86
Mary,Thomas,404.74
Sara,Crawford,271.90
Donna,Lane,212.91
Lois,Wagner,284.81
Jason,Cunningham,717.86
Terry,Watson,182.06
William,Patterson,794.76
Heather,Lawson,569.59
Patricia,Duncan,527.24
Roy,Perez,282.15
Susan,Larson,915.28
Sarah,Rogers,760.90
Joshua,Gordon,538.82
Russell,Jackson,435.68
Anthony,Hudson,673.81
Evelyn,Kelly,495.34
Steven,Williams,642.05
Adam,Jones,871.91
Stephanie,Matthews,682.18
Jimmy,Howell,95.75
Jack,Fuller,893.40
Scott,White,34.30
James,Peters,306.31
Bruce,Fowler,362.70
Janet,Elliott,517.63
Brian,Edwards,92.58
Roy,Reynolds,562.53
Katherine,Woods,40.08
Christina,Oliver,91.02
Jason,Vasquez,578.80
Betty,Phillips,47.52
Judith,Hamilton,41.46
Albert,Tucker,995.80
Kevin,Griffin,289.94
Craig,Castillo,913.43
Janice,Barnes,331.81
Steve,Ruiz,618.96
Philip,Payne,413.78
Phillip,Reid,10.89
Karen,Ryan,83.85
Andrew,Barnes,33.76
Norma,Holmes,18.97
Roger,Richards,648.04
Earl,Garza,881.68
James,Ward,884.88
Elizabeth,James,477.57
Martin,Garrett,587.52
Albert,Weaver,754.81
Laura,Watkins,934.20
Carol,Larson,369.32
Jose,Bailey,417.11
Frances,Rose,517.49
Matthew,Romero,358.03
Charles,Diaz,609.97
Walter,Lopez,193.39
Samuel,Jones,866.96
Antonio,Carr,862.04
Juan,Daniels,592.03
Linda,Holmes,361.64
Paula,Wallace,862.75
Billy,Nelson,992.80
Daniel,Medina,42.09
Steve,Edwards,245.57
Marie,Fisher,721.23
Marilyn,Morales,163.03
Jeremy,James,455.72
Stephen,Vasquez,661.79
Dorothy,Thompson,842.75
Harry,Garcia,312.96
Jerry,King,355.29
Earl,Sims,492.75
Johnny,Anderson,438.30
Irene,Simpson,800.00
Amy,Flores,588.74
Albert,Fuller,391.05
Jesse,Harvey,521.24
Sarah,Bryant,992.06
Brandon,Duncan,484.15
Brandon,Mccoy,678.26
James,Washington,368.34
Gerald,Hanson,463.12
Julie,Butler,130.91
Christina,Thompson,264.30
Lois,Warren,436.95
Linda,Hawkins,419.17
Jean,Burns,666.61
Diana,Wright,34.29
Anna,Burke,565.57
Philip,Brooks,945.80
Willie,Kennedy,461.37
Howard,Barnes,455.17
Cheryl,Ellis,766.75
Kathleen,Simpson,498.42
Sean,Shaw,822.95
Patricia,Edwards,917.54
Billy,Henry,371.64
Shirley,Jones,661.77
Frances,Kelley,123.89
Gregory,Oliver,738.39
Wanda,Rogers,723.10
Gary,Moore,624.12
Kenneth,Henderson,457.59
Gary,Ortiz,782.07
Joan,Romero,299.90
Joseph,Welch,343.01
Beverly,Stewart,96.38
Kathleen,Snyder,568.08
Robert,Ellis,925.28
Anthony,Perez,224.29
Susan,Harvey,868.63
Janet,Garrett,609.24
Robin,Morrison,776.78
Janet,Knight,290.91
Fred,Romero,226.90
Betty,Nichols,246.54
Sara,Dean,399.36
Jack,Hudson,421.10
Patricia,Matthews,654.45
Anne,Foster,775.16
Janice,Rivera,776.61
Denise,Webb,186.26
Harry,Ellis,739.63
Terry,Wood,919.19
Joshua,Stanley,522.27
Anthony,Garza,505.19
Daniel,Murray,490.40
Maria,Harris,791.52
John,Andrews,201.40
Shawn,Rodriguez,160.63
Frances,Austin,230.60
Sean,Scott,215.73
Dennis,Ortiz,240.78
Dennis,Harper,176.61
Joe,Frazier,178.63
Jacqueline,Davis,57.18
Marilyn,Bailey,811.50
John,Sullivan,268.00
Roger,Bennett,769.13
Phyllis,Cooper,0.88
Harold,Wagner,651.69
Todd,Howard,186.02
Paul,Morris,840.16
Jeremy,Hart,765.72
Joseph,Alvarez,157.91
Joe,Dean,368.85
Rose,Carpenter,383.73
Juan,Crawford,724.68
Ronald,Bowman,88.38
Lawrence,Oliver,767.48
Andrea,Richards,212.25
Karen,Russell,216.42
Rose,Peters,574.60
Diane,Stone,271.00
Lisa,Gomez,278.51
Arthur,Black,803.37
Laura,Hernandez,888.53
Jonathan,Roberts,304.86
Lois,Murphy,313.85
Andrea,Hughes,508.99
Paul,Harper,865.44
Jonathan,Williams,796.23
Jason,Snyder,716.89
Irene,Hernandez,693.79
Lois,Alvarez,535.81
Ernest,Crawford,54.60
Dennis,Howard,979.72
Stephanie,Ferguson,264.50
Jeremy,Payne,59.74
Gloria,Medina,308.25
Joan,Thomas,60.81
Steve,Martin,633.66
Benjamin,Meyer,42.86
Marilyn,Hunt,31.49
Jack,Romero,200.01
Carl,Kim,246.59
Bruce,West,375.28
Norma,Harvey,637.13
Albert,Edwards,475.57
Doris,Garrett,526.88
Lillian,Fields,311.69
Nancy,Williams,786.92
Jerry,Peters,702.93
Matthew,Stanley,910.08
Wayne,Franklin,642.39
Chris,Mendoza,276.70
Harold,Graham,697.01
Kathleen,Warren,546.83
Cheryl,Rivera,737.84
Andrea,Howell,575.56
Benjamin,Alexander,950.57
Angela,Bell,242.94
Donna,Long,60.48
Fred,Hansen,708.84
Russell,Romero,985.43
Paul,Martin,547.80
Kenneth,Lee,67.81
Joan,Frazier,964.21
Tina,Daniels,338.54
Gary,Spencer,998.33
Doris,Moreno,788.41
Howard,Meyer,564.25
Bruce,Lawrence,61.47
Diana,Ortiz,44.72
Denise,Rivera,910.52
Kimberly,Kim,816.19
Samuel,Welch,656.76
Larry,Clark,946.38
Russell,Wagner,704.89
Frank,Butler,791.33
Sharon,Thompson,206.35
Martin,Black,116.02
Philip,West,24.66
Amy,Moore,406.52
Tina,Simmons,773.18
Kenneth,Hicks,936.53
Mildred,Evans,100.93
Harold,Alvarez,418.39
Louise,Knight,186.77
William,Arnold,710.99
Amy,Riley,743.70
Rachel,Howard,835.23
Alice,Gomez,506.97
Todd,Hill,33.20
Janice,Sanders,737.95
Martin,Knight,743.92
Ernest,Austin,294.96
Diane,Chapman,548.40
Donna,Hill,183.51
Bonnie,Lawrence,306.58
Tina,Burns,692.17
Anne,Greene,889.76
Phillip,Reynolds,376.45
Robin,Griffin,698.72
Russell,Warren,177.87
Jerry,Henderson,680.22
Donna,Reyes,248.91
Donna,Gordon,694.17
Jessica,Harrison,812.25
Laura,Lane,981.23
Ernest,Reid,919.61
Larry,Larson,770.65
Kathy,Jenkins,583.40
Philip,Ramos,998.86
Ernest,Matthews,133.12
Terry,Kelly,399.14
Bobby,Matthews,904.01
Frances,Howell,494.52
Deborah,Nelson,344.29
Louise,Chapman,74.02
Charles,Campbell,176.97
Louis,Jackson,977.84
Robert,Perez,289.65
Frances,Gibson,602.08
Laura,Willis,937.30
Patrick,Stevens,648.38
Martin,Collins,778.54
Robin,Gilbert,21.13
Joseph,Little,501.98
Roger,Stevens,321.43
