id,first_name,last_name,gender,age
1,Kelly,Johnson,Female,33
2,Katherine,Day,Female,85
3,Ann,Ferguson,Female,62
4,Eugene,Stone,Male,62
5,Phyllis,Cole,Female,2
6,Heather,Fernandez,Female,71
7,Charles,Fuller,Male,72
8,Diana,Porter,Female,23
9,Walter,Bennett,Male,44
10,Angela,Arnold,Female,68
11,Roger,Palmer,Male,19
12,Christina,Sullivan,Female,30
13,Kathy,Cole,Female,80
14,Kelly,Campbell,Female,60
15,Terry,Marshall,Male,86
16,Jessica,Edwards,Female,2
17,Joyce,Shaw,Female,59
18,Carol,Daniels,Female,49
19,Christina,Russell,Female,16
20,Harold,Sanchez,Male,100
21,Steve,Thomas,Male,52
22,Cheryl,Williams,Female,8
23,Joe,Gonzalez,Male,85
24,Sean,Lee,Male,2
25,Irene,Evans,Female,100
26,Christine,Wright,Female,100
27,Betty,Green,Female,80
28,Steve,Hall,Male,79
29,Theresa,Warren,Female,12
30,Maria,Webb,Female,7
31,Sharon,Harper,Female,64
32,Earl,Fields,Male,42
33,Paula,Butler,Female,64
34,Ruby,Wells,Female,59
35,Robert,Martin,Male,20
36,Russell,Montgomery,Male,80
37,Irene,Cole,Female,85
38,Martin,Webb,Male,36
39,Alan,Palmer,Male,82
40,Jerry,Washington,Male,65
41,Tammy,Rivera,Female,34
42,Sean,Williamson,Male,46
43,Kathy,Ramos,Female,97
44,Betty,Snyder,Female,65
45,Martha,Ruiz,Female,2
46,Shawn,Stevens,Male,44
47,Paul,Owens,Male,28
48,Peter,Wells,Male,47
49,Eugene,Ryan,Male,71
50,Denise,Chavez,Female,2
51,Phyllis,Ray,Female,86
52,Jerry,Cox,Male,7
53,Sarah,Morgan,Female,39
54,Jeremy,Dixon,Male,83
55,Samuel,Berry,Male,67
56,Sara,Diaz,Female,6
57,Willie,Cunningham,Male,42
58,Antonio,Stanley,Male,9
59,Jason,Rice,Male,95
60,Jennifer,Carter,Female,91
61,Carol,Graham,Female,73
62,Christopher,Garza,Male,78
63,Emily,Warren,Female,27
64,Richard,Howard,Male,20
65,Andrew,Green,Male,85
66,Walter,Hall,Male,92
67,Charles,Walker,Male,44
68,Peter,Williamson,Male,10
69,Jessica,Bradley,Female,93
70,Teresa,Banks,Female,1
71,Tammy,Sullivan,Female,76
72,Denise,Murphy,Female,4
73,Elizabeth,Washington,Female,23
74,Wayne,Austin,Male,56
75,Robert,Alexander,Male,62
76,Robin,Mcdonald,Female,83
77,Elizabeth,Grant,Female,41
78,Russell,Peterson,Male,80
79,Walter,Medina,Male,55
80,Antonio,Rose,Male,5
81,Samuel,Coleman,Male,89
82,Marie,Harper,Female,40
83,Randy,Ramos,Male,93
84,Peter,Garza,Male,89
85,Jose,Olson,Male,40
86,Ralph,Wagner,Male,63
87,Robin,Banks,Female,79
88,William,Collins,Male,57
89,Roy,Price,Male,28
90,Roy,Hill,Male,55
91,George,Johnston,Male,68
92,Joe,Peterson,Male,2
93,Phyllis,Cox,Female,29
94,Linda,Cunningham,Female,72
95,Russell,Tucker,Male,1
96,Joseph,Gray,Male,70
97,Clarence,Vasquez,Male,76
98,Ruth,Cook,Female,23
99,Marie,Burton,Female,64
100,Rose,Howard,Female,72
101,Diane,Cunningham,Female,70
102,Lillian,Cook,Female,58
103,Michael,White,Male,50
104,Walter,Weaver,Male,6
105,Gregory,Ross,Male,43
106,Timothy,Perez,Male,81
107,Diane,Ford,Female,57
108,Mary,Peters,Female,44
109,Amy,Taylor,Female,30
110,John,Rivera,Male,72
111,Shirley,Richards,Female,78
112,Earl,Evans,Male,42
113,Jonathan,Burton,Male,2
114,Steve,Morgan,Male,80
115,Stephen,Mitchell,Male,95
116,Ruby,Flores,Female,54
117,Jimmy,Cruz,Male,18
118,Paula,Coleman,Female,49
119,Gary,Flores,Male,51
120,Kevin,Reyes,Male,94
121,Theresa,Grant,Female,82
122,Christina,Nguyen,Female,3
123,Earl,Garcia,Male,6
124,Willie,Henderson,Male,58
125,Martin,Porter,Male,61
126,Jacqueline,Burton,Female,15
127,Arthur,Cruz,Male,57
128,Anna,Howard,Female,53
129,Steven,Perkins,Male,94
130,Joe,Peterson,Male,83
131,Carol,Nichols,Female,38
132,Fred,Burton,Male,24
133,Lillian,Johnston,Female,32
134,Willie,Rice,Male,22
135,Anne,Hawkins,Female,46
136,Ann,Dunn,Female,82
137,Todd,Ross,Male,92
138,Jesse,Williams,Male,7
139,Wanda,Mitchell,Female,94
140,Paula,Spencer,Female,10
